labels,movieId,imdbId,title,tmdbId,year,countries,languages,plot,imdbRating,imdbVotes,released,runtime,poster,revenue,budget,url
Movie,15,0112760,Cutthroat Island,1408,1995,USA; France; Italy; Germany,English,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,5.6,20522,1995-12-22,124,https://image.tmdb.org/t/p/w440_and_h660_face/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,10017322,98000000,https://themoviedb.org/movie/1408
Movie,16,0112641,Casino,524,1995,USA; France,English,"Greed, deception, money, power, and murder occur between two mobster best friends and a trophy wife over a gambling empire.",8.2,320118,1995-11-22,178,https://image.tmdb.org/t/p/w440_and_h660_face/4TS5O1IP42bY2BvgMxL156EENy.jpg,116112375,52000000,https://themoviedb.org/movie/524
Movie,17,0114388,Sense and Sensibility,4584,1995,USA; UK,English; French,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.",7.7,76082,1996-01-26,136,https://image.tmdb.org/t/p/w440_and_h660_face/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,134582776,16000000,https://themoviedb.org/movie/4584
Movie,18,0113101,Four Rooms,5,1995,USA,English,Four interlocking tales that take place in a fading hotel on New Year's Eve.,6.7,75952,1995-12-25,98,https://image.tmdb.org/t/p/w440_and_h660_face/uZSmxBLIuZ8gpadjAWNdA5aQDAc.jpg,4257354,4000000,https://themoviedb.org/movie/5
Movie,19,0112281,Ace Ventura: When Nature Calls,9273,1995,USA,English,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",6.3,155200,1995-11-10,90,https://image.tmdb.org/t/p/w440_and_h660_face/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,212385533,30000000,https://themoviedb.org/movie/9273
Movie,20,0113845,Money Train,11517,1995,USA,English,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",5.6,31488,1995-11-22,110,https://image.tmdb.org/t/p/w440_and_h660_face/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,77224232,68000000,https://themoviedb.org/movie/11517
Movie,21,0113161,Get Shorty,8012,1995,USA,English,A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.,6.9,61591,1995-10-20,105,https://image.tmdb.org/t/p/w440_and_h660_face/5XSVAyHmTCFOWaqEQ0LUHh3yssB.jpg,115101622,30250000,https://themoviedb.org/movie/8012
Movie,22,0112722,Copycat,1710,1995,USA,English,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,6.6,41335,1995-10-27,123,https://image.tmdb.org/t/p/w440_and_h660_face/sch1NNy1q6O50qaUG0MqoU8z9GD.jpg,,,https://themoviedb.org/movie/1710
Movie,23,0112401,Assassins,9691,1995,France; USA,English; Dutch; Spanish,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,6.3,60996,1995-10-06,132,https://image.tmdb.org/t/p/w440_and_h660_face/5Ldj3h0ReTsKlKLyLxaD3mW2ZIQ.jpg,30303072,50000000,https://themoviedb.org/movie/9691
Movie,24,0114168,Powder,12665,1995,USA,English,A young bald albino boy with unique powers shakes up the rural community he lives in.,6.5,23715,1995-10-27,111,https://image.tmdb.org/t/p/w440_and_h660_face/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg,,,https://themoviedb.org/movie/12665
Movie,25,0113627,Leaving Las Vegas,451,1995,USA,English; Russian,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",7.6,91469,1996-02-09,111,https://image.tmdb.org/t/p/w440_and_h660_face/rl5ROyXACDkiSbO6PnKK6Onnw26.jpg,49800000,3600000,https://themoviedb.org/movie/451
Movie,26,0114057,Othello,16420,1995,USA; UK,English,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,7.0,7241,1996-01-19,123,https://image.tmdb.org/t/p/w440_and_h660_face/6u14UkDVPUVquXkZ5Hgb7UIEvUE.jpg,,,https://themoviedb.org/movie/16420
Movie,27,0114011,Now and Then,9263,1995,USA,English,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,6.7,21002,1995-10-20,100,https://image.tmdb.org/t/p/w440_and_h660_face/yQ8xP1WOfatqgUp4e3X8n73itJc.jpg,27400000,12000000,https://themoviedb.org/movie/9263
Movie,28,0114117,Persuasion,17015,1995,UK; USA; France,English,"Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...",7.7,8758,1995-09-27,107,https://image.tmdb.org/t/p/w440_and_h660_face/tYOFCtgLb4hfuwhXKBWwAobWhwS.jpg,,,https://themoviedb.org/movie/17015
Movie,29,0112682,"City of Lost Children, The (Cité des enfants perdus, La)",902,1995,France; Germany; Spain,French; Cantonese,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",7.7,54490,1995-12-15,112,https://image.tmdb.org/t/p/w440_and_h660_face/xQrp6wxaNMXVd259235d1X0LBsw.jpg,1738611,18000000,https://themoviedb.org/movie/902
Movie,30,0115012,Shanghai Triad (Yao a yao yao dao waipo qiao),37557,1995,France; China,Mandarin,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,7.2,4140,1995-12-22,108,https://image.tmdb.org/t/p/w440_and_h660_face/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,,2300000,https://themoviedb.org/movie/37557
Movie,31,0112792,Dangerous Minds,9909,1995,USA,English,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,6.4,37045,1995-08-11,99,https://image.tmdb.org/t/p/w440_and_h660_face/y2iKziYm1rG5AWfL3el7HgxhoIp.jpg,179519401,23000000,https://themoviedb.org/movie/9909
Movie,32,0114746,Twelve Monkeys (a.k.a. 12 Monkeys),63,1995,USA,English; French,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",8.1,446779,1996-01-05,129,https://image.tmdb.org/t/p/w440_and_h660_face/kKoG0hXBmBbkDnJYhhHisdin73W.jpg,168840000,29500000,https://themoviedb.org/movie/63
Movie,34,0112431,Babe,9598,1995,Australia; USA,English,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",6.8,91870,1995-08-04,91,https://image.tmdb.org/t/p/w440_and_h660_face/bjDIp0b5TQRx4kF8l9TKeUANLTp.jpg,254134910,30000000,https://themoviedb.org/movie/9598
Movie,35,0112637,Carrington,47018,1995,UK; France,English,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.,6.9,4351,1995-11-10,121,https://image.tmdb.org/t/p/w440_and_h660_face/8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg,,,https://themoviedb.org/movie/47018
Movie,36,0112818,Dead Man Walking,687,1995,UK; USA,English,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",7.6,71231,1996-02-02,122,https://image.tmdb.org/t/p/w440_and_h660_face/wQmmJi5ypfHH2boXrQBmsep7qb2.jpg,39363635,11000000,https://themoviedb.org/movie/687
Movie,37,0112286,Across the Sea of Time,139405,1995,USA,English; Russian,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...",6.6,203,1995-10-20,51,,16015639,,https://themoviedb.org/movie/139405
Movie,38,0113442,It Takes Two,33689,1995,USA,English,"Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ...",5.7,14602,1995-11-17,101,https://image.tmdb.org/t/p/w440_and_h660_face/sdes5TrRbymELYLG85YIxmFb1OP.jpg,,,https://themoviedb.org/movie/33689
Movie,39,0112697,Clueless,9603,1995,USA,English; Spanish,"A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.",6.8,116376,1995-07-19,97,https://image.tmdb.org/t/p/w440_and_h660_face/71RW4lkES2Dt7vSLSXvekGYNskG.jpg,56631572,12000000,https://themoviedb.org/movie/9603
Movie,40,0112749,"Cry, the Beloved Country",34615,1995,South Africa; USA,English,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,6.9,1399,1995-12-15,106,https://image.tmdb.org/t/p/w440_and_h660_face/kGPsBswFOCjiGzXq4OZwzEAAODa.jpg,676525,,https://themoviedb.org/movie/34615
Movie,41,0114279,Richard III,31174,1995,UK; USA,English,The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting.,7.5,11297,1995-12-29,104,https://image.tmdb.org/t/p/w440_and_h660_face/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg,2748518,,https://themoviedb.org/movie/31174
Movie,42,0112819,Dead Presidents,11443,1995,USA,English,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",6.8,14749,1995-10-06,119,https://image.tmdb.org/t/p/w440_and_h660_face/gCqfjRQtBugpmbkBrmGzCLSJo3m.jpg,24147179,10000000,https://themoviedb.org/movie/11443
Movie,43,0114272,Restoration,35196,1995,USA; UK,English; Latin,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",6.7,7423,1996-02-02,117,https://image.tmdb.org/t/p/w440_and_h660_face/wkf0z1GSbVXrGvUpT5ApBNA4VEW.jpg,,19000000,https://themoviedb.org/movie/35196
Movie,44,0113855,Mortal Kombat,9312,1995,USA,English,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,5.8,79687,1995-08-18,101,https://image.tmdb.org/t/p/w440_and_h660_face/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg,122195920,18000000,https://themoviedb.org/movie/9312
Movie,45,0114681,To Die For,577,1995,USA; UK; Canada,English,"Suzanne Stone is an aspiring TV personality who will do anything to be in the spotlight, including enlisting three teenagers to kill her husband.",6.8,33928,1995-10-06,106,https://image.tmdb.org/t/p/w440_and_h660_face/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg,21284514,20000000,https://themoviedb.org/movie/577
Movie,46,0113347,How to Make an American Quilt,11861,1995,USA,English,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,6.2,8258,1995-10-06,109,https://image.tmdb.org/t/p/w440_and_h660_face/vwYRaERccwXWCYrTzeWRZRarJOo.jpg,23574130,10000000,https://themoviedb.org/movie/11861
Movie,47,0114369,Seven (a.k.a. Se7en),807,1995,USA,English,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.",8.6,981458,1995-09-22,127,https://image.tmdb.org/t/p/w440_and_h660_face/6yoghtyTpznpBik8EngEmJskVUO.jpg,327311859,33000000,https://themoviedb.org/movie/807
Movie,48,0114148,Pocahontas,10530,1995,USA,English; Algonquin,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.,6.6,113939,1995-06-23,81,https://image.tmdb.org/t/p/w440_and_h660_face/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,346079773,55000000,https://themoviedb.org/movie/10530
Movie,49,0114916,When Night Is Falling,8391,1995,Canada,English,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",6.8,5192,1995-11-17,94,https://image.tmdb.org/t/p/w440_and_h660_face/f9edMkT6bLXVvZICn47ARnQ1Iu5.jpg,,,https://themoviedb.org/movie/8391
Movie,50,0114814,"Usual Suspects, The",629,1995,USA; Germany,English; Hungarian; Spanish; French,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup.",8.6,711361,1995-09-15,106,https://image.tmdb.org/t/p/w440_and_h660_face/d2IalvQ6eaEAsLVTFUEHf6roHEk.jpg,23341568,6000000,https://themoviedb.org/movie/629
Movie,52,0113819,Mighty Aphrodite,11448,1995,USA,English,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a prostitute.",7.1,30824,1995-11-10,95,https://image.tmdb.org/t/p/w440_and_h660_face/m0MZabFBNtMuFn3oNcq45M1Jws3.jpg,6700000,15000000,https://themoviedb.org/movie/11448
Movie,53,0110299,Lamerica,49133,1994,Italy; France; Switzerland,Albanian; Italian,Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...,7.6,1714,1995-10-04,116,https://image.tmdb.org/t/p/w440_and_h660_face/1oeLiGLbjXi32ZPIrzTrYIsKFd5.jpg,,,https://themoviedb.org/movie/49133
Movie,54,0112499,"Big Green, The",26441,1995,USA,English,"Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions, while building self-esteem, making friends and solving a variety of ...",5.4,6671,1995-09-29,100,https://image.tmdb.org/t/p/w440_and_h660_face/kbJqLMRUoVmNkQ4VgAtDwGis2dJ.jpg,,,https://themoviedb.org/movie/26441
Movie,55,0113158,Georgia,97406,1995,USA; France,English; Hebrew,"Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ...",6.4,2307,1995-12-08,115,https://image.tmdb.org/t/p/w440_and_h660_face/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,,,https://themoviedb.org/movie/97406
Movie,57,0113321,Home for the Holidays,9089,1995,USA,English,"After losing her job, making out with her soon-to-be former boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",6.6,8945,1995-11-03,103,https://image.tmdb.org/t/p/w440_and_h660_face/a8MslR6deQQVe8JR542XDSwHiPB.jpg,17519169,,https://themoviedb.org/movie/9089
Movie,58,0110877,"Postman, The (Postino, Il)",11010,1994,Italy; France; Belgium,Italian; Spanish,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,7.8,25355,1996-03-22,108,https://image.tmdb.org/t/p/w440_and_h660_face/zqK1rE4gpDvEn612HeJF4EnoYCG.jpg,,,https://themoviedb.org/movie/11010
Movie,59,0112714,"Confessional, The (Confessionnal, Le)",99040,1995,Canada; UK; France,French; English,"The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the ...",7.6,1347,1996-08-16,100,https://image.tmdb.org/t/p/w440_and_h660_face/9ApR0PwQdlnvc76NmlbUWkeAK9i.jpg,,,https://themoviedb.org/movie/99040
Movie,60,0113419,"Indian in the Cupboard, The",11359,1995,USA,English,On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best ...,5.9,20201,1995-07-14,96,https://image.tmdb.org/t/p/w440_and_h660_face/6jxwjs285L16lO3XAX7FzfQpREb.jpg,,45000000,https://themoviedb.org/movie/11359
Movie,61,0116260,Eye for an Eye,17182,1996,USA,English; French; Spanish; Korean,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",6.1,9441,1996-01-12,101,https://image.tmdb.org/t/p/w440_and_h660_face/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,26877589,20000000,https://themoviedb.org/movie/17182
Movie,62,0113862,Mr. Holland's Opus,2054,1995,USA,English; American Sign Language,A frustrated composer finds fulfillment as a high school music teacher.,7.3,29633,1996-01-19,143,https://image.tmdb.org/t/p/w440_and_h660_face/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,106269971,23000000,https://themoviedb.org/movie/2054
Movie,63,0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,10607,1996,USA,English; Spanish,"Don't Be a Menace to South Central While Drinking your Juice in the Hood is a parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood, South Central, ...",6.6,37036,1996-01-12,89,https://image.tmdb.org/t/p/w440_and_h660_face/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg,,,https://themoviedb.org/movie/10607
Movie,64,0118002,Two if by Sea,19760,1996,USA,English,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job, which involves stealing a valuable painting. ...",5.2,4448,1996-01-12,96,https://image.tmdb.org/t/p/w440_and_h660_face/kvQl6sJyplWRQ0BGp0E8kBUQKO8.jpg,10658278,,https://themoviedb.org/movie/19760
Movie,65,0115683,Bio-Dome,9536,1996,USA,English,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",4.3,21048,1996-01-12,88,https://image.tmdb.org/t/p/w440_and_h660_face/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg,,15000000,https://themoviedb.org/movie/9536
Movie,66,0116839,Lawnmower Man 2: Beyond Cyberspace,11525,1996,USA,English,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...",2.4,7798,1996-01-12,93,https://image.tmdb.org/t/p/w440_and_h660_face/2Zp26DfI6pTqiyHUkL7bMjv28tG.jpg,2409225,,https://themoviedb.org/movie/11525
Movie,68,0113149,French Twist (Gazon maudit),4482,1995,France,French; Spanish,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",6.4,3674,1996-01-19,104,https://image.tmdb.org/t/p/w440_and_h660_face/5WhBRgimR7mHiB4oSmXDPXzn81j.jpg,,,https://themoviedb.org/movie/4482
Movie,69,0113118,Friday,10634,1995,USA,English,"Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by ten p.m. that same night. In that time, they smoke more weed, get jacked, and they get shot at in a drive-by.",7.3,71667,1995-04-26,91,https://image.tmdb.org/t/p/w440_and_h660_face/kvtBMDc67NShviLR0AyjWklT8VW.jpg,28215918,3500000,https://themoviedb.org/movie/10634
Movie,70,0116367,From Dusk Till Dawn,755,1996,USA,English; Spanish,"Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires, with chaotic results.",7.3,212165,1996-01-19,108,https://image.tmdb.org/t/p/w440_and_h660_face/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,25836616,19000000,https://themoviedb.org/movie/755
Movie,71,0113010,Fair Game,11859,1995,USA,English; Russian,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",4.1,9973,1995-11-03,91,https://image.tmdb.org/t/p/w440_and_h660_face/sLmQMGJXQI4zakDTqq7J0d9nCU3.jpg,11534477,50000000,https://themoviedb.org/movie/11859
Movie,72,0113537,Kicking and Screaming,28387,1995,USA,English,"Following graduation, a handful of college students do nothing and talk about it wittily.",7.1,6885,1995-10-06,96,https://image.tmdb.org/t/p/w440_and_h660_face/186brkmaBmopqcM0dPs71tj9BfM.jpg,718490,,https://themoviedb.org/movie/28387
Movie,73,0113828,"Misérables, Les",48750,1995,France,French; German; English,Henri Fortin is poor and iliterate former boxer. Ziman is rich Jewish lawyer from Paris. During WWII they meet when Fortin agrees to drive Ziman's family to Switzerland. Intrigued by Victor...,7.5,3151,1995-11-03,175,https://image.tmdb.org/t/p/w440_and_h660_face/ct1T56BbeE60CsoFhUB4Qmq8kkf.jpg,,,https://themoviedb.org/movie/48750
Movie,74,0115644,Bed of Roses,20927,1996,USA,English,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",6.0,6660,1996-01-26,87,https://image.tmdb.org/t/p/w440_and_h660_face/e0Eho8TETw1RhvX9MH9i19Xf1iM.jpg,19030691,,https://themoviedb.org/movie/20927
Movie,76,0114367,Screamers,9102,1995,Canada; USA; Japan,English,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as...",6.4,19542,1996-01-26,108,https://image.tmdb.org/t/p/w440_and_h660_face/5eD94VJwaui14lBozxRQHWhA06X.jpg,5781885,20000000,https://themoviedb.org/movie/9102
Movie,77,0113973,Nico Icon,124626,1995,Germany; USA,English; German,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,...",7.3,534,1995-11-16,67,,,,https://themoviedb.org/movie/124626
Movie,78,0112744,"Crossing Guard, The",27526,1995,USA,English,Freddie Gale is a seedy jeweler who has sworn to kill the drunk driver who killed his little girl.,6.4,10337,1995-11-16,111,https://image.tmdb.org/t/p/w440_and_h660_face/otL93Cs0pHAc0pR4CF3yAY436tY.jpg,,,https://themoviedb.org/movie/27526
Movie,79,0116731,"Juror, The",9623,1996,USA,English,"When Annie Laird is selected as a juror in a big Mafia trial, she is forced by someone known as The Teacher to persuade the other jurors to vote not guilty. He threatens to kill her son...",5.6,13707,1996-02-02,118,https://image.tmdb.org/t/p/w440_and_h660_face/dZ94mKfHmYqwIOd826dF5z5aGnr.jpg,22754725,44000000,https://themoviedb.org/movie/9623
Movie,80,0112445,"White Balloon, The (Badkonake sefid)",46785,1995,Iran,Persian,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,7.8,4509,1995-11-27,85,https://image.tmdb.org/t/p/w440_and_h660_face/bamJR4MwtQDMdWkjVAPojfwOjY4.jpg,,,https://themoviedb.org/movie/46785
Movie,81,0114660,Things to Do in Denver When You're Dead,400,1995,USA,English,Five different criminals face imminent death after botching a job quite badly.,6.8,21912,1995-12-01,115,https://image.tmdb.org/t/p/w440_and_h660_face/kATmorfxsxbS0GSKOVJe4qvPLh5.jpg,529766,8000000,https://themoviedb.org/movie/400
Movie,82,0112379,Antonia's Line (Antonia),880,1995,Netherlands; Belgium; UK; France,Dutch,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",7.5,6659,1996-02-02,102,https://image.tmdb.org/t/p/w440_and_h660_face/7Yz6IXplDRtasBwRkdv0OguIV0B.jpg,,900000,https://themoviedb.org/movie/880
Movie,83,0114039,Once Upon a Time... When We Were Colored,146599,1995,USA,English,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,7.3,411,1996-01-26,115,,,,https://themoviedb.org/movie/146599
Movie,84,0113612,Last Summer in the Hamptons,188588,1995,USA,English,"Filmed entirely on location in East Hampton, Long Island, Last Summer in the Hamptons concerns a large theatrical family spending the last weekend of their summer together at the ...",6.1,300,1996-09-15,108,https://image.tmdb.org/t/p/w440_and_h660_face/qVCkkiAoxh5e1UIKJ4Uo6ILV8qA.jpg,,,https://themoviedb.org/movie/188588
